source_gpx_basename,track_name,activity_titles,mountain_names_in_track_or_title,csv_mountain_nos_matched_by_name,csv_mountain_names_matched_by_name,summit_candidate_count_for_gpx,summit_candidate_ids_for_gpx,assigned_mountain_nos_using_gpx,assigned_mountain_names_using_gpx,coverage_status,diagnostic_note
yamap_2022-12-12_08_41.gpx,遠ヶ森,遠ヶ森;扇山,遠ヶ森;扇山;扇山,168;169;531,遠ヶ森;扇山;扇山,1,summit-candidate:02fa4cfab6fa90d3,396,高土の峰,single_candidate_for_multi_peak_track,Only 1 candidate extracted for a track named with 3 peaks. Severe peak merging occurred.
yamap_2022-12-12_10_30.gpx,扇山,扇山;遠ヶ森,遠ヶ森;扇山;扇山,168;169;531,遠ヶ森;扇山;扇山,1,summit-candidate:9acc21860aa8a208,,,single_candidate_for_multi_peak_track,Only 1 candidate extracted for a track named with 3 peaks. Severe peak merging occurred.
yamap_2022-12-25_10_09.gpx,高山,高山;塔ノ峰;海山;近見山;唐子山;医王山;永納山(永納山城址);佐々久山,高山;高山;塔ノ峰;海山;近見山;唐子山;医王山;永納山(永納山城址);佐々久山;高山,29;170;171;172;173;174;175;176;177;392,高山;高山;塔ノ峰;海山;近見山;唐子山;医王山;永納山(永納山城址);佐々久山;高山,1,summit-candidate:101c1b0635c0bec0,,,single_candidate_for_multi_peak_track,Only 1 candidate extracted for a track named with 10 peaks. Severe peak merging occurred.
yamap_2022-12-25_11_41.gpx,近見山,近見山;高山;塔ノ峰;海山;唐子山;医王山;永納山(永納山城址);佐々久山,高山;高山;塔ノ峰;海山;近見山;唐子山;医王山;永納山(永納山城址);佐々久山;高山,29;170;171;172;173;174;175;176;177;392,高山;高山;塔ノ峰;海山;近見山;唐子山;医王山;永納山(永納山城址);佐々久山;高山,1,summit-candidate:d5b708b4d3aa86a0,,,single_candidate_for_multi_peak_track,Only 1 candidate extracted for a track named with 10 peaks. Severe peak merging occurred.
yamap_2022-12-25_12_44.gpx,唐子山,唐子山;高山;塔ノ峰;海山;近見山;医王山;永納山(永納山城址);佐々久山,高山;高山;塔ノ峰;海山;近見山;唐子山;医王山;永納山(永納山城址);佐々久山;高山,29;170;171;172;173;174;175;176;177;392,高山;高山;塔ノ峰;海山;近見山;唐子山;医王山;永納山(永納山城址);佐々久山;高山,1,summit-candidate:71f4bbfe52f75585,,,single_candidate_for_multi_peak_track,Only 1 candidate extracted for a track named with 10 peaks. Severe peak merging occurred.
yamap_2022-12-25_13_36.gpx,医王山,医王山;高山;塔ノ峰;海山;近見山;唐子山;永納山(永納山城址);佐々久山,高山;高山;塔ノ峰;海山;近見山;唐子山;医王山;永納山(永納山城址);佐々久山;高山,29;170;171;172;173;174;175;176;177;392,高山;高山;塔ノ峰;海山;近見山;唐子山;医王山;永納山(永納山城址);佐々久山;高山,1,summit-candidate:1ed32ce6414c2781,114;115;477,世田山;笠松山;笠松山東峰,single_candidate_for_multi_peak_track,Only 1 candidate extracted for a track named with 10 peaks. Severe peak merging occurred.
yamap_2022-12-31_15_00.gpx,星岡山,星岡山;土亀山;天山;東山,東山;土亀山;天山;東山;星岡山,137;178;179;180;181,東山;土亀山;天山;東山;星岡山,1,summit-candidate:5c9365b2a5a9c97f,181,星岡山,single_candidate_for_multi_peak_track,Only 1 candidate extracted for a track named with 5 peaks. Severe peak merging occurred.
yamap_2023-01-03_07_36.gpx,福見山・河原樋山・真松嶺・柿王寺森,福見山・河原樋山・真松嶺・柿王寺森,河原樋山;真松嶺;柿王寺森;福見山,182;183;184;210,河原樋山;真松嶺;柿王寺森;福見山,5,summit-candidate:4fec4dd128e55ab0;summit-candidate:90f628409cfebc32;summit-candidate:b1d864fd1fcc9dcb;summit-candidate:f2aae42aff3dea24;summit-candidate:74dd1729abbd7bb5,72,伊之子山,candidate_count_greater_than_named_peaks,Over-detection or secondary features: candidate count (5) exceeds named peaks (4).
yamap_2023-01-06_11_33.gpx,岩子山・垣生山・津田山・弁天山,岩子山・垣生山・津田山・弁天山,岩子山;岩子山;垣生山;津田山;弁天山;垣生山,32;185;186;187;188;369,岩子山;岩子山;垣生山;津田山;弁天山;垣生山,4,summit-candidate:49cfd09def5fce03;summit-candidate:45f49d8fd831427c;summit-candidate:8178723bbadb1c72;summit-candidate:ea18d38abe59ed57,185;186,岩子山;垣生山,candidate_count_less_than_named_peaks,Under-detection: candidate count (4) is less than named peaks (6).
yamap_2023-01-08_09_18.gpx,権現山,権現山;黒瀬山(黒瀬城址)・岡山(岡山城址)・鉢ヶ森(鉢ヶ森城址)・護摩ヶ森(護摩ヶ森城址)・我合山(...,権現山;護摩ヶ森;権現山;権現山;黒瀬山（黒瀬城址）;鉢ヶ森（鉢ヶ森城址）;護摩ヶ森（護摩ヶ森城址）;権現山;権現山;権現山;権現山;権現山,14;34;159;189;190;192;193;198;263;465;480;494,権現山;護摩ヶ森;権現山;権現山;黒瀬山（黒瀬城址）;鉢ヶ森（鉢ヶ森城址）;護摩ヶ森（護摩ヶ森城址）;権現山;権現山;権現山;権現山;権現山,2,summit-candidate:047b9599ec28c6ad;summit-candidate:32bb5e7e1071e808,,,candidate_count_less_than_named_peaks,Under-detection: candidate count (2) is less than named peaks (12).
yamap_2023-01-08_14_24.gpx,黒瀬山(黒瀬城址)・岡山(岡山城址)・鉢ヶ森(鉢ヶ森城址)・護摩ヶ森(護摩ヶ森城址)・我合山(...,黒瀬山(黒瀬城址)・岡山(岡山城址)・鉢ヶ森(鉢ヶ森城址)・護摩ヶ森(護摩ヶ森城址)・我合山(...;権現山,権現山;護摩ヶ森;権現山;権現山;黒瀬山（黒瀬城址）;鉢ヶ森（鉢ヶ森城址）;護摩ヶ森（護摩ヶ森城址）;権現山;権現山;権現山;権現山;権現山,14;34;159;189;190;192;193;198;263;465;480;494,権現山;護摩ヶ森;権現山;権現山;黒瀬山（黒瀬城址）;鉢ヶ森（鉢ヶ森城址）;護摩ヶ森（護摩ヶ森城址）;権現山;権現山;権現山;権現山;権現山,3,summit-candidate:a660f8ef78c69ab0;summit-candidate:a5f51c62e44d0847;summit-candidate:8a7a47d167c1aba6,194,我合山（我合城址）,candidate_count_less_than_named_peaks,Under-detection: candidate count (3) is less than named peaks (12).
yamap_2023-01-21_09_56.gpx,大森山,大森山;見晴山;権現山;遠見山;石神山・金比羅山,権現山;権現山;権現山;大森山;見晴山;権現山;遠見山;石神山;金比羅山;権現山;大森山;遠見山;権現山;大森山;権現山;権現山;大森山,14;159;189;196;197;198;199;200;201;263;433;458;465;466;480;494;501,権現山;権現山;権現山;大森山;見晴山;権現山;遠見山;石神山;金比羅山;権現山;大森山;遠見山;権現山;大森山;権現山;権現山;大森山,1,summit-candidate:830c63408bf56cc5,,,single_candidate_for_multi_peak_track,Only 1 candidate extracted for a track named with 17 peaks. Severe peak merging occurred.
yamap_2023-01-21_12_43.gpx,石神山・金比羅山,石神山・金比羅山;大森山;見晴山;権現山;遠見山,権現山;権現山;権現山;大森山;見晴山;権現山;遠見山;石神山;金比羅山;権現山;大森山;遠見山;権現山;大森山;権現山;権現山;大森山,14;159;189;196;197;198;199;200;201;263;433;458;465;466;480;494;501,権現山;権現山;権現山;大森山;見晴山;権現山;遠見山;石神山;金比羅山;権現山;大森山;遠見山;権現山;大森山;権現山;権現山;大森山,2,summit-candidate:47129c06b82cf694;summit-candidate:c6ced2088a2376f5,,,candidate_count_less_than_named_peaks,Under-detection: candidate count (2) is less than named peaks (17).
yamap_2023-01-28_11_53.gpx,鳥越山,鳥越山;谷田山・金毘羅山;佐古田山;古城山・尾崎山,鳥越山;谷田山;金毘羅山;佐古田山;古城山;尾崎山,202;203;204;205;206;207,鳥越山;谷田山;金毘羅山;佐古田山;古城山;尾崎山,1,summit-candidate:5b7c833ac0535534,,,single_candidate_for_multi_peak_track,Only 1 candidate extracted for a track named with 6 peaks. Severe peak merging occurred.
yamap_2023-01-28_12_19.gpx,谷田山・金毘羅山,谷田山・金毘羅山;鳥越山;佐古田山;古城山・尾崎山,鳥越山;谷田山;金毘羅山;佐古田山;古城山;尾崎山,202;203;204;205;206;207,鳥越山;谷田山;金毘羅山;佐古田山;古城山;尾崎山,1,summit-candidate:ab7edbc3a52d24bf,,,single_candidate_for_multi_peak_track,Only 1 candidate extracted for a track named with 6 peaks. Severe peak merging occurred.
yamap_2023-01-28_13_44.gpx,佐古田山,佐古田山;鳥越山;谷田山・金毘羅山;古城山・尾崎山,鳥越山;谷田山;金毘羅山;佐古田山;古城山;尾崎山,202;203;204;205;206;207,鳥越山;谷田山;金毘羅山;佐古田山;古城山;尾崎山,1,summit-candidate:cf6802c2dafdbf46,,,single_candidate_for_multi_peak_track,Only 1 candidate extracted for a track named with 6 peaks. Severe peak merging occurred.
yamap_2023-01-28_14_27.gpx,古城山・尾崎山,古城山・尾崎山;鳥越山;谷田山・金毘羅山;佐古田山,鳥越山;谷田山;金毘羅山;佐古田山;古城山;尾崎山,202;203;204;205;206;207,鳥越山;谷田山;金毘羅山;佐古田山;古城山;尾崎山,1,summit-candidate:1432f597b5dca157,178,土亀山,single_candidate_for_multi_peak_track,Only 1 candidate extracted for a track named with 6 peaks. Severe peak merging occurred.
yamap_2023-03-05_11_09.gpx,宝ヶ峯・淡路ヶ峠,宝ヶ峯・淡路ヶ峠,宝ヶ峯;淡路ヶ峠,208;209,宝ヶ峯;淡路ヶ峠,1,summit-candidate:d43fade4de3e33c8,208;209,宝ヶ峯;淡路ヶ峠,single_candidate_for_multi_peak_track,Only 1 candidate extracted for a track named with 2 peaks. Severe peak merging occurred.
yamap_2023-03-11_06_08.gpx,福見山・明神ヶ森・南三方ヶ森・魚谷森・左谷ノ森,福見山・明神ヶ森・南三方ヶ森・魚谷森・左谷ノ森,福見山;明神ヶ森;南三方ヶ森;魚谷森;左谷ノ森,210;211;212;213;214,福見山;明神ヶ森;南三方ヶ森;魚谷森;左谷ノ森,4,summit-candidate:446b5fe1e7a8b2fd;summit-candidate:83f3af0488659ac8;summit-candidate:5b124255339c0714;summit-candidate:0ff024bf702c13bb,,,candidate_count_less_than_named_peaks,Under-detection: candidate count (4) is less than named peaks (5).
yamap_2023-03-29_05_31.gpx,えんとつ山・生子山・犬返・種子川山・西赤石山・物住頭・上兜山・下兜山,えんとつ山・生子山・犬返・種子川山・西赤石山・物住頭・上兜山・下兜山,えんとつ山;生子山;犬返;種子川山;西赤石山;物住頭;上兜山;下兜山,218;219;220;221;222;223;224;225,えんとつ山;生子山;犬返;種子川山;西赤石山;物住頭;上兜山;下兜山,4,summit-candidate:339138a4e53293da;summit-candidate:473a62086144ac33;summit-candidate:a6379cb2ebc004fb;summit-candidate:4311f3ae9948ea08,,,candidate_count_less_than_named_peaks,Under-detection: candidate count (4) is less than named peaks (8).
yamap_2023-04-04_12_51.gpx,黒森山,黒森山,黒森山;黒森山;黒森,226;306;498,黒森山;黒森山;黒森,1,summit-candidate:924ccfedeb6c2d2c,,,single_candidate_for_multi_peak_track,Only 1 candidate extracted for a track named with 3 peaks. Severe peak merging occurred.
yamap_2023-04-09_09_08.gpx,菊ヶ森・餓鬼ヶ森,菊ヶ森・餓鬼ヶ森,菊ヶ森;菊ヶ森;餓鬼ヶ森,45;227;228,菊ヶ森;菊ヶ森;餓鬼ヶ森,3,summit-candidate:2a670286f545beb2;summit-candidate:4ffd2320af7e6acc;summit-candidate:be07cff01023e072,238;518,冠岳;笠松山,candidate_count_matches_named_peaks,Candidate count (3) matches the number of named peaks in track/title.
yamap_2023-04-18_06_58.gpx,船野山,船野山;黒滝山・木久ヶ森,船野山;木久ヶ森;黒滝山,229;230;231,船野山;木久ヶ森;黒滝山,1,summit-candidate:7880c9d0de83468b,,,single_candidate_for_multi_peak_track,Only 1 candidate extracted for a track named with 3 peaks. Severe peak merging occurred.
yamap_2023-04-18_10_53.gpx,黒滝山・木久ヶ森,黒滝山・木久ヶ森;船野山,船野山;木久ヶ森;黒滝山,229;230;231,船野山;木久ヶ森;黒滝山,1,summit-candidate:9669b668bebfc145,,,single_candidate_for_multi_peak_track,Only 1 candidate extracted for a track named with 3 peaks. Severe peak merging occurred.
yamap_2023-05-27_09_55.gpx,前善神山・善神山,前善神山・善神山,善神山;前善神山,235;236,善神山;前善神山,1,summit-candidate:367897a1c7a2d287,,,single_candidate_for_multi_peak_track,Only 1 candidate extracted for a track named with 2 peaks. Severe peak merging occurred.
yamap_2023-10-13_10_02.gpx,ベツソ山・歯朶谷山,ベツソ山・歯朶谷山,ベツソ山;歯朶谷山,241;242,ベツソ山;歯朶谷山,1,summit-candidate:dba931625b34d9ac,,,single_candidate_for_multi_peak_track,Only 1 candidate extracted for a track named with 2 peaks. Severe peak merging occurred.
yamap_2023-10-14_07_53.gpx,丸山,丸山,丸山;丸山,243;500,丸山;丸山,1,summit-candidate:2670057d58a25475,,,single_candidate_for_multi_peak_track,Only 1 candidate extracted for a track named with 2 peaks. Severe peak merging occurred.
yamap_2023-10-22_06_44.gpx,二ノ岳・高森,二ノ岳・高森,二ノ岳;高森,244;245,二ノ岳;高森,3,summit-candidate:b58470f57bb41331;summit-candidate:5771cdd191c3861d;summit-candidate:a61fd78e4e062683,323,二の森,candidate_count_greater_than_named_peaks,Over-detection or secondary features: candidate count (3) exceeds named peaks (2).
yamap_2023-11-11_07_17.gpx,四辻ノ森・三光ノ辻山,四辻ノ森・三光ノ辻山,四辻ノ森;三光ノ辻山,246;247,四辻ノ森;三光ノ辻山,5,summit-candidate:c4504025c94f843c;summit-candidate:d659f1dc6e5fa0b5;summit-candidate:ad2256a1bfd3ef78;summit-candidate:b27cb491de0f94b6;summit-candidate:05f8527418663d3a,,,candidate_count_greater_than_named_peaks,Over-detection or secondary features: candidate count (5) exceeds named peaks (2).
yamap_2023-11-19_06_46.gpx,瀬戸黒森・三森・羽子山・観音森,瀬戸黒森・三森・羽子山・観音森,瀬戸黒森;羽子山;観音森;三森,248;249;250;251,瀬戸黒森;羽子山;観音森;三森,5,summit-candidate:290abf917754fd0b;summit-candidate:f7593239fa7bdcc9;summit-candidate:9a0532ee2b40e5f3;summit-candidate:b997b8fd6709731d;summit-candidate:cf1cb583d492455c,248,瀬戸黒森,candidate_count_greater_than_named_peaks,Over-detection or secondary features: candidate count (5) exceeds named peaks (4).
yamap_2023-12-17_07_11.gpx,総津権現山,総津権現山;秦皇山;平岡山(平岡城址),権現山;権現山;権現山;権現山;総津権現山;秦皇山;平岡山(平岡城址);権現山;権現山;権現山;権現山,14;159;189;198;252;253;254;263;465;480;494,権現山;権現山;権現山;権現山;総津権現山;秦皇山;平岡山(平岡城址);権現山;権現山;権現山;権現山,1,summit-candidate:f108570a8e33ce90,,,single_candidate_for_multi_peak_track,Only 1 candidate extracted for a track named with 11 peaks. Severe peak merging occurred.
yamap_2023-12-17_10_30.gpx,平岡山(平岡城址) ,平岡山(平岡城址);総津権現山;秦皇山,権現山;権現山;権現山;権現山;総津権現山;秦皇山;平岡山(平岡城址);権現山;権現山;権現山;権現山,14;159;189;198;252;253;254;263;465;480;494,権現山;権現山;権現山;権現山;総津権現山;秦皇山;平岡山(平岡城址);権現山;権現山;権現山;権現山,1,summit-candidate:1d97e1955af85092,,,single_candidate_for_multi_peak_track,Only 1 candidate extracted for a track named with 11 peaks. Severe peak merging occurred.
yamap_2024-01-14_10_18.gpx,竜門山・大黒山,竜門山・大黒山,竜門山;大黒山;大黒山,255;256;264,竜門山;大黒山;大黒山,2,summit-candidate:64a47ed9c06f56d5;summit-candidate:99b1b356cad63b98,,,candidate_count_less_than_named_peaks,Under-detection: candidate count (2) is less than named peaks (3).
yamap_2024-01-27_08_01.gpx,大空山,大空山;御串山;薬師山;宝股山;開山,大空山;御串山;宝股山;開山;薬師山,257;258;259;260;310,大空山;御串山;宝股山;開山;薬師山,1,summit-candidate:fd13fabb918486e6,,,single_candidate_for_multi_peak_track,Only 1 candidate extracted for a track named with 5 peaks. Severe peak merging occurred.
yamap_2024-01-27_10_11.gpx,御串山,御串山;大空山;薬師山;宝股山;開山,大空山;御串山;宝股山;開山;薬師山,257;258;259;260;310,大空山;御串山;宝股山;開山;薬師山,1,summit-candidate:02d59cd1260af017,258,御串山,single_candidate_for_multi_peak_track,Only 1 candidate extracted for a track named with 5 peaks. Severe peak merging occurred.
yamap_2024-01-27_13_31.gpx,宝股山,宝股山;大空山;御串山;薬師山;開山,大空山;御串山;宝股山;開山;薬師山,257;258;259;260;310,大空山;御串山;宝股山;開山;薬師山,1,summit-candidate:468c5bbccd8aba53,,,single_candidate_for_multi_peak_track,Only 1 candidate extracted for a track named with 5 peaks. Severe peak merging occurred.
yamap_2024-02-10_07_09.gpx,鳥屋ヶ森,鳥屋ヶ森;熊ガ峰;権現山,権現山;権現山;権現山;権現山;鳥屋ヶ森;熊ガ峰;権現山;権現山;権現山;権現山,14;159;189;198;261;262;263;465;480;494,権現山;権現山;権現山;権現山;鳥屋ヶ森;熊ガ峰;権現山;権現山;権現山;権現山,1,summit-candidate:ef6730fa259856ec,,,single_candidate_for_multi_peak_track,Only 1 candidate extracted for a track named with 10 peaks. Severe peak merging occurred.
yamap_2024-02-10_09_58.gpx,熊ガ峰,熊ガ峰;鳥屋ヶ森;権現山,権現山;権現山;権現山;権現山;鳥屋ヶ森;熊ガ峰;権現山;権現山;権現山;権現山,14;159;189;198;261;262;263;465;480;494,権現山;権現山;権現山;権現山;鳥屋ヶ森;熊ガ峰;権現山;権現山;権現山;権現山,1,summit-candidate:ef3e845b5d632dd3,,,single_candidate_for_multi_peak_track,Only 1 candidate extracted for a track named with 10 peaks. Severe peak merging occurred.
yamap_2024-02-10_13_09.gpx,権現山,権現山;鳥屋ヶ森;熊ガ峰,権現山;権現山;権現山;権現山;鳥屋ヶ森;熊ガ峰;権現山;権現山;権現山;権現山,14;159;189;198;261;262;263;465;480;494,権現山;権現山;権現山;権現山;鳥屋ヶ森;熊ガ峰;権現山;権現山;権現山;権現山,1,summit-candidate:84f974876f397da1,,,single_candidate_for_multi_peak_track,Only 1 candidate extracted for a track named with 10 peaks. Severe peak merging occurred.
yamap_2024-02-17_05_38.gpx,大黒山・譲ヶ葉森,大黒山・譲ヶ葉森,大黒山;大黒山;譲ヶ葉森,256;264;265,大黒山;大黒山;譲ヶ葉森,4,summit-candidate:282882317c3aab0b;summit-candidate:f5c22dac4bd015ae;summit-candidate:19baf3ce30f8991a;summit-candidate:56cffb103cbe3aac,,,candidate_count_greater_than_named_peaks,Over-detection or secondary features: candidate count (4) exceeds named peaks (3).
yamap_2024-02-24_07_06.gpx,高月山・東高月山・郭公岳・櫨ヶ森・毛山,高月山・東高月山・郭公岳・櫨ヶ森・毛山,郭公岳;東高月山;高月山;櫨ヶ森;毛山,266;267;268;269;270,郭公岳;東高月山;高月山;櫨ヶ森;毛山,5,summit-candidate:ba56c1ac8ac55c5f;summit-candidate:90c3723735d95c0d;summit-candidate:62351b8782d6f597;summit-candidate:3853fbbba7330ec4;summit-candidate:f7e5fd7b11eb7bd4,264,大黒山,candidate_count_matches_named_peaks,Candidate count (5) matches the number of named peaks in track/title.
yamap_2024-03-03_06_23.gpx,白石山,白石山;観音岳;音無山;天ガ森,白石山;観音岳;音無山;天ガ森,271;272;273;274,白石山;観音岳;音無山;天ガ森,1,summit-candidate:ac8e3853fbbf0c6f,,,single_candidate_for_multi_peak_track,Only 1 candidate extracted for a track named with 4 peaks. Severe peak merging occurred.
yamap_2024-03-03_08_44.gpx,観音岳,観音岳;白石山;音無山;天ガ森,白石山;観音岳;音無山;天ガ森,271;272;273;274,白石山;観音岳;音無山;天ガ森,1,summit-candidate:a53cc9868b7f2f70,,,single_candidate_for_multi_peak_track,Only 1 candidate extracted for a track named with 4 peaks. Severe peak merging occurred.
yamap_2024-03-03_10_00.gpx,音無山,音無山;白石山;観音岳;天ガ森,白石山;観音岳;音無山;天ガ森,271;272;273;274,白石山;観音岳;音無山;天ガ森,1,summit-candidate:97e45d6eab227d56,,,single_candidate_for_multi_peak_track,Only 1 candidate extracted for a track named with 4 peaks. Severe peak merging occurred.
yamap_2024-03-03_13_33.gpx,天ガ森,天ガ森;白石山;観音岳;音無山,白石山;観音岳;音無山;天ガ森,271;272;273;274,白石山;観音岳;音無山;天ガ森,1,summit-candidate:93a4d66ef3ee559d,,,single_candidate_for_multi_peak_track,Only 1 candidate extracted for a track named with 4 peaks. Severe peak merging occurred.
yamap_2024-03-10_07_12.gpx,夫婦山・白山・観音山・国見山・城山・御勧請山,夫婦山・白山・観音山・国見山・城山・御勧請山,観音山;城山;夫婦山;白山;観音山;国見山;城山;御勧請山;城山,2;41;275;276;277;278;279;280;339,観音山;城山;夫婦山;白山;観音山;国見山;城山;御勧請山;城山,7,summit-candidate:2ab43729f5e80cbe;summit-candidate:3a491eecbf684185;summit-candidate:cf29543e6beaa1ec;summit-candidate:3e9348428f22a320;summit-candidate:d19542a61a416537;summit-candidate:0022a746b396d4c7;summit-candidate:13b7a4bb8154974a,,,candidate_count_less_than_named_peaks,Under-detection: candidate count (7) is less than named peaks (9).
yamap_2024-03-16_09_21.gpx,トギ・張木山・高手山,トギ・張木山・高手山;斎藤山,トギ;張木山;高手山;斎藤山,281;282;283;284,トギ;張木山;高手山;斎藤山,2,summit-candidate:b49681fa67b2b53e;summit-candidate:e75e04c2fbe61c2f,,,candidate_count_less_than_named_peaks,Under-detection: candidate count (2) is less than named peaks (4).
yamap_2024-03-16_13_58.gpx,斎藤山,斎藤山;トギ・張木山・高手山,トギ;張木山;高手山;斎藤山,281;282;283;284,トギ;張木山;高手山;斎藤山,1,summit-candidate:3c28b6ebd5a97155,,,single_candidate_for_multi_peak_track,Only 1 candidate extracted for a track named with 4 peaks. Severe peak merging occurred.
yamap_2024-03-30_07_11.gpx,御祝山・横ノ森・小屋ヶ森・串ヶ森・目黒鳥屋・長尾森,御祝山・横ノ森・小屋ヶ森・串ヶ森・目黒鳥屋・長尾森,御祝山;横ノ森;小屋ヶ森;串ヶ森;目黒鳥屋;長尾森,285;286;287;288;289;290,御祝山;横ノ森;小屋ヶ森;串ヶ森;目黒鳥屋;長尾森,2,summit-candidate:12c27f259b66de80;summit-candidate:9186201ca03b041d,267;268;289,東高月山;高月山;目黒鳥屋,candidate_count_less_than_named_peaks,Under-detection: candidate count (2) is less than named peaks (6).
yamap_2024-04-07_06_45.gpx,二箆山・西雑誌山,二箆山・西雑誌山,二箆山;西雑誌山,291;292,二箆山;西雑誌山,6,summit-candidate:0a89128346167f6e;summit-candidate:67df63dc99cf8614;summit-candidate:ec2a95521eaac250;summit-candidate:e4172c5503fdcc89;summit-candidate:aa8ff99fc3bd426d;summit-candidate:09c1602c02ce7f78,,,candidate_count_greater_than_named_peaks,Over-detection or secondary features: candidate count (6) exceeds named peaks (2).
yamap_2024-04-20_05_43.gpx,気多山・八辻ノ峰・五代ヶ森,気多山・八辻ノ峰・五代ヶ森,気多山;八辻ノ峰;五代ヶ森,293;294;295,気多山;八辻ノ峰;五代ヶ森,4,summit-candidate:e010f98d2b23f547;summit-candidate:83056c3652757f25;summit-candidate:3f404ba3e31c8b54;summit-candidate:76cc7bb75549e7a1,,,candidate_count_greater_than_named_peaks,Over-detection or secondary features: candidate count (4) exceeds named peaks (3).
yamap_2024-04-28_07_11.gpx,狼ヶ城山,狼ヶ城山;日浦嶺・打越山,狼ヶ城山;日浦嶺;打越山,297;298;299,狼ヶ城山;日浦嶺;打越山,1,summit-candidate:95a8fa74fd4af7b0,,,single_candidate_for_multi_peak_track,Only 1 candidate extracted for a track named with 3 peaks. Severe peak merging occurred.
yamap_2024-04-28_10_37.gpx,日浦嶺・打越山,日浦嶺・打越山;狼ヶ城山,狼ヶ城山;日浦嶺;打越山,297;298;299,狼ヶ城山;日浦嶺;打越山,2,summit-candidate:606168b97944fce5;summit-candidate:498b9618ca98fa34,,,candidate_count_less_than_named_peaks,Under-detection: candidate count (2) is less than named peaks (3).
yamap_2024-05-11_07_45.gpx,丸笹山,丸笹山;丸滝山,丸笹山;丸滝山,301;302,丸笹山;丸滝山,2,summit-candidate:8917a066a1c03aeb;summit-candidate:5ec5a611be375a53,,,candidate_count_matches_named_peaks,Candidate count (2) matches the number of named peaks in track/title.
yamap_2024-05-11_13_46.gpx,丸滝山,丸滝山;丸笹山,丸笹山;丸滝山,301;302,丸笹山;丸滝山,1,summit-candidate:aa6060fe8a831f45,,,single_candidate_for_multi_peak_track,Only 1 candidate extracted for a track named with 2 peaks. Severe peak merging occurred.
yamap_2024-05-19_08_47.gpx,二反山・青刈山,,青刈山;二反山,304;308,青刈山;二反山,1,summit-candidate:94e96018c0a5450d,,,single_candidate_for_multi_peak_track,Only 1 candidate extracted for a track named with 2 peaks. Severe peak merging occurred.
yamap_2024-06-08_08_42.gpx,沓掛山・黒森山,沓掛山・黒森山,黒森山;黒森山;沓掛山;黒森,226;306;307;498,黒森山;黒森山;沓掛山;黒森,2,summit-candidate:40e090ce41a89b55;summit-candidate:dd7a40896ae9f6d4,,,candidate_count_less_than_named_peaks,Under-detection: candidate count (2) is less than named peaks (4).
yamap_2024-07-06_10_01.gpx,子持権現山・男山・瓶ヶ森,子持権現山・男山・瓶ヶ森,権現山;権現山;権現山;権現山;権現山;子持権現山;男山;瓶ヶ森;権現山;権現山;権現山,14;159;189;198;263;311;312;313;465;480;494,権現山;権現山;権現山;権現山;権現山;子持権現山;男山;瓶ヶ森;権現山;権現山;権現山,2,summit-candidate:df6b60d513f5518e;summit-candidate:f2538b7f88e2dd06,109,西黒森,candidate_count_less_than_named_peaks,Under-detection: candidate count (2) is less than named peaks (11).
yamap_2024-09-23_07_35.gpx,中津山(明神山)・猿越山,中津山(明神山)・猿越山,明神山;中津山(明神山);猿越山;明神山,55;318;319;343,明神山;中津山(明神山);猿越山;明神山,4,summit-candidate:fec0bb942061619b;summit-candidate:a0c5556d9432a199;summit-candidate:bd875ddf4679d1f7;summit-candidate:eb3b108c5d508377,,,candidate_count_matches_named_peaks,Candidate count (4) matches the number of named peaks in track/title.
yamap_2024-10-05_06_40.gpx,銅山峰・西山・三の森・二の森・一の森,銅山峰・西山・三の森・二の森・一の森,西山;銅山峰;西山;三の森;二の森;一の森,31;320;321;322;323;324,西山;銅山峰;西山;三の森;二の森;一の森,2,summit-candidate:057580d1c60049b6;summit-candidate:0dea5d073885dc9d,,,candidate_count_less_than_named_peaks,Under-detection: candidate count (2) is less than named peaks (6).
yamap_2024-10-14_04_48.gpx,三ッ足山・カガマシ山・橡尾山・笹ヶ峰,三ッ足山・カガマシ山・橡尾山・笹ヶ峰,笹ヶ峰;三ッ足山;カガマシ山;橡尾山;笹ヶ峰,121;325;326;327;328,笹ヶ峰;三ッ足山;カガマシ山;橡尾山;笹ヶ峰,6,summit-candidate:8078eb6cc96c519a;summit-candidate:0886436b79473a6c;summit-candidate:a1b1b7885eeab893;summit-candidate:851dc9683d2d7442;summit-candidate:a53ed6259e132097;summit-candidate:fecfbf815fc6d5a7,,,candidate_count_greater_than_named_peaks,Over-detection or secondary features: candidate count (6) exceeds named peaks (5).
yamap_2024-10-20_06_42.gpx,ハネズル山,ハネズル山;天堤山,ハネズル山;天堤山,329;330,ハネズル山;天堤山,1,summit-candidate:e2c08955f9275289,,,single_candidate_for_multi_peak_track,Only 1 candidate extracted for a track named with 2 peaks. Severe peak merging occurred.
yamap_2024-10-20_11_05.gpx,天堤山,天堤山;ハネズル山,ハネズル山;天堤山,329;330,ハネズル山;天堤山,1,summit-candidate:f54f44da226a4a15,,,single_candidate_for_multi_peak_track,Only 1 candidate extracted for a track named with 2 peaks. Severe peak merging occurred.
