mountain_no,mountain_name,summit_candidate_id,source_gpx_basename,track_name,candidate_ele_m,mountain_elevation_m,elevation_diff_m,location_refined_candidate_score,location_refined_rank_for_mountain,location_refined_rank_for_summit_candidate,score_gap_to_next_candidate,mutual_top1,mutual_top3,confidence,review_priority,compact_review_priority,review_bucket,location_refinement_level,csv_municipality,csv_island,matched_terms,nearest_display_name,review_reason_codes,review_priority_reason_codes,compact_review_reason_codes,notes
36,石槌山,summit-candidate:0cc40babcd0ce6bf,yamap_2025-01-30_06_55.gpx,弥八山,261.15000000000003,252,9.15,0.3105,3,10,0,false,false,low,high,high,check_location_warning,boundary_tolerated_mismatch,東温市,,,"川之江町長須, 四国中央市, 愛媛県, 799-0101, 日本",multiple_candidates_for_mountain|multiple_mountains_for_candidate|weak_name_evidence|missing_csv_coordinate|location_mismatch_warning|activity_link_ambiguous,strong_evidence_with_mismatch,location_mismatch_warning,mountain=石槌山(#36); candidate=summit-candidate:0cc40babcd0ce6bf; ref_score=0.3105; ref_rank=3; loc_level=boundary_tolerated_mismatch; priority=high; priority_reasons=strong_evidence_with_mismatch
37,日王山,summit-candidate:2011a6c909945d6f,yamap_2026-04-12_11_03.gpx,権現山,102.87,109,6.13,0.49,1,2,0,false,true,low,high,high,resolve_conflict,exact_municipality_match,松山市,,松山市,"弁天山トンネル, 北斎院町, 松山市, 愛媛県, 791-8031, 日本",multiple_candidates_for_mountain|multiple_mountains_for_candidate|weak_name_evidence|missing_csv_coordinate,top_1_but_ambiguous|top_candidate_for_multiple_mountains,shared_candidate|not_mutual_top1,"mountain=日王山(#37); candidate=summit-candidate:2011a6c909945d6f; ref_score=0.49; ref_rank=1; loc_level=exact_municipality_match; priority=high; priority_reasons=top_1_but_ambiguous,top_candidate_for_multiple_mountains"
37,日王山,summit-candidate:22b4a5a5c856bf4d,yamap_2022-02-16_11_57.gpx,愛宕山・常光寺山,104.27999999999999,109,4.72,0.49,2,3,0,false,true,low,medium,high,check_close_alternatives,exact_municipality_match,松山市,,松山市,"石手二丁目, 新石手, 松山市, 愛媛県, 790-0852, 日本",multiple_candidates_for_mountain|multiple_mountains_for_candidate|weak_name_evidence|missing_csv_coordinate,top_3_with_evidence,small_score_gap,mountain=日王山(#37); candidate=summit-candidate:22b4a5a5c856bf4d; ref_score=0.49; ref_rank=2; loc_level=exact_municipality_match; priority=medium; priority_reasons=top_3_with_evidence
37,日王山,summit-candidate:45f49d8fd831427c,yamap_2023-01-06_11_33.gpx,岩子山・垣生山・津田山・弁天山,110.77666666666669,109,1.78,0.49,3,9,0,false,false,low,high,high,resolve_conflict,exact_municipality_match,松山市,,松山市,"垣生山公園登山道, 高岡町, 松山市, 愛媛県, 791-8036, 日本",multiple_candidates_for_mountain|multiple_mountains_for_candidate|weak_name_evidence|missing_csv_coordinate,top_candidate_for_multiple_mountains,shared_candidate,mountain=日王山(#37); candidate=summit-candidate:45f49d8fd831427c; ref_score=0.49; ref_rank=3; loc_level=exact_municipality_match; priority=high; priority_reasons=top_candidate_for_multiple_mountains
38,重茂山,summit-candidate:fbd725fc8006e2c8,yamap_2022-02-28_13_13.gpx,花木山,50.49,291,240.51,0.6345,1,2,0.1445,false,true,medium,high,high,resolve_conflict,exact_municipality_match,今治市,,今治市,"大西町九王, 今治市, 愛媛県, 794-8511, 日本",multiple_candidates_for_mountain|multiple_mountains_for_candidate|weak_elevation_evidence|missing_csv_coordinate|activity_link_ambiguous,top_1_but_ambiguous|top_candidate_for_multiple_mountains,shared_candidate|not_mutual_top1,"mountain=重茂山(#38); candidate=summit-candidate:fbd725fc8006e2c8; ref_score=0.6345; ref_rank=1; loc_level=exact_municipality_match; priority=high; priority_reasons=top_1_but_ambiguous,top_candidate_for_multiple_mountains"
38,重茂山,summit-candidate:468c5bbccd8aba53,yamap_2024-01-27_13_31.gpx,宝股山,300.6033333333333,291,9.6,0.49,2,3,0,false,true,low,high,high,resolve_conflict,exact_municipality_match,今治市,,今治市,"伯方町叶浦, 寺山, 今治市, 愛媛県, 794-8511, 日本",multiple_candidates_for_mountain|multiple_mountains_for_candidate|weak_name_evidence|missing_csv_coordinate|activity_link_ambiguous,top_candidate_for_multiple_mountains,shared_candidate,mountain=重茂山(#38); candidate=summit-candidate:468c5bbccd8aba53; ref_score=0.49; ref_rank=2; loc_level=exact_municipality_match; priority=high; priority_reasons=top_candidate_for_multiple_mountains
38,重茂山,summit-candidate:bcc05b721653749f,yamap_2024-12-15_07_21.gpx,陣が森・岩が森・スクモ塚・高萩山・長者森,290.3833333333333,291,0.62,0.49,3,3,0.051,false,true,low,medium,low,low_priority,exact_municipality_match,今治市,,今治市,"菊間町高田, 今治市, 愛媛県, 794-8511, 日本",multiple_candidates_for_mountain|multiple_mountains_for_candidate|weak_name_evidence|missing_csv_coordinate,top_3_with_evidence,low_priority_alternative,mountain=重茂山(#38); candidate=summit-candidate:bcc05b721653749f; ref_score=0.49; ref_rank=3; loc_level=exact_municipality_match; priority=medium; priority_reasons=top_3_with_evidence
39,花木山,summit-candidate:fbd725fc8006e2c8,yamap_2022-02-28_13_13.gpx,花木山,50.49,53,2.51,0.7875,1,1,0.2975,true,true,medium,high,high,resolve_conflict,exact_municipality_match,今治市,,今治市,"大西町九王, 今治市, 愛媛県, 794-8511, 日本",multiple_candidates_for_mountain|multiple_mountains_for_candidate|missing_csv_coordinate|activity_link_ambiguous,top_1_but_ambiguous|top_candidate_for_multiple_mountains,shared_candidate,"mountain=花木山(#39); candidate=summit-candidate:fbd725fc8006e2c8; ref_score=0.7875; ref_rank=1; loc_level=exact_municipality_match; priority=high; priority_reasons=top_1_but_ambiguous,top_candidate_for_multiple_mountains"
39,花木山,summit-candidate:02d59cd1260af017,yamap_2024-01-27_10_11.gpx,御串山,62.803333333333335,53,9.8,0.49,2,4,0.1795,false,false,low,high,high,resolve_conflict,exact_municipality_match,今治市,,今治市,"今治大三島自転車道線, 大三島町明日, 新地, 今治市, 愛媛県, 794-8511, 日本",multiple_candidates_for_mountain|multiple_mountains_for_candidate|weak_name_evidence|missing_csv_coordinate|activity_link_ambiguous,top_candidate_for_multiple_mountains,shared_candidate,mountain=花木山(#39); candidate=summit-candidate:02d59cd1260af017; ref_score=0.49; ref_rank=2; loc_level=exact_municipality_match; priority=high; priority_reasons=top_candidate_for_multiple_mountains
39,花木山,summit-candidate:40d5b4863907057a,yamap_2022-02-09_10_01.gpx,佐田岬と伽藍山,50.463046185756546,53,2.54,0.3105,3,2,0,false,true,low,high,high,check_location_warning,boundary_tolerated_mismatch,今治市,,,"佐田岬三崎線, 伊方町, 西宇和郡, 愛媛県, 796-0822, 日本",multiple_candidates_for_mountain|multiple_mountains_for_candidate|weak_name_evidence|missing_csv_coordinate|location_mismatch_warning,strong_evidence_with_mismatch,location_mismatch_warning,mountain=花木山(#39); candidate=summit-candidate:40d5b4863907057a; ref_score=0.3105; ref_rank=3; loc_level=boundary_tolerated_mismatch; priority=high; priority_reasons=strong_evidence_with_mismatch
40,ヌタノサコ,summit-candidate:7d7066baad9d7077,yamap_2022-03-03_10_47.gpx,奥之城山・ヌタノサコ,505.77666666666664,514,8.22,0.7875,1,1,0.153,true,true,medium,high,high,resolve_conflict,exact_municipality_match,松山市,,松山市,"湯山柳, 松山市, 愛媛県, 790-2648, 日本",multiple_candidates_for_mountain|multiple_mountains_for_candidate|missing_csv_coordinate,top_1_but_ambiguous|top_candidate_for_multiple_mountains,shared_candidate,"mountain=ヌタノサコ(#40); candidate=summit-candidate:7d7066baad9d7077; ref_score=0.7875; ref_rank=1; loc_level=exact_municipality_match; priority=high; priority_reasons=top_1_but_ambiguous,top_candidate_for_multiple_mountains"
40,ヌタノサコ,summit-candidate:0ec3be2fa2295b82,yamap_2022-03-03_10_47.gpx,奥之城山・ヌタノサコ,388.2833333333333,514,125.72,0.6345,2,2,0,false,true,medium,medium,low,low_priority,exact_municipality_match,松山市,,松山市,"末町, 松山市, 愛媛県, 790-2648, 日本",multiple_candidates_for_mountain|multiple_mountains_for_candidate|weak_elevation_evidence|missing_csv_coordinate,top_3_with_evidence,low_priority_alternative,mountain=ヌタノサコ(#40); candidate=summit-candidate:0ec3be2fa2295b82; ref_score=0.6345; ref_rank=2; loc_level=exact_municipality_match; priority=medium; priority_reasons=top_3_with_evidence
40,ヌタノサコ,summit-candidate:ea33d870d4700a56,yamap_2022-03-03_10_47.gpx,奥之城山・ヌタノサコ,414.2866666666667,514,99.71,0.6345,3,2,0.1955,false,true,medium,medium,low,low_priority,exact_municipality_match,松山市,,松山市,"末町, 松山市, 愛媛県, 790-2648, 日本",multiple_candidates_for_mountain|multiple_mountains_for_candidate|weak_elevation_evidence|missing_csv_coordinate,top_3_with_evidence,low_priority_alternative,mountain=ヌタノサコ(#40); candidate=summit-candidate:ea33d870d4700a56; ref_score=0.6345; ref_rank=3; loc_level=exact_municipality_match; priority=medium; priority_reasons=top_3_with_evidence
41,城山,summit-candidate:c1f175d0616be696,yamap_2022-03-05_09_44.gpx,城山・水梨山・向山,589.8691282114027,592,2.13,0.7875,1,1,0.153,true,true,medium,high,medium,accept_candidate_after_map_check,exact_municipality_match,砥部町,,砥部町,"砥部町, 伊予郡, 愛媛県, 日本",multiple_candidates_for_mountain|multiple_mountains_for_candidate|missing_csv_coordinate,top_1_but_ambiguous,clear_mutual_top1,mountain=城山(#41); candidate=summit-candidate:c1f175d0616be696; ref_score=0.7875; ref_rank=1; loc_level=exact_municipality_match; priority=high; priority_reasons=top_1_but_ambiguous
41,城山,summit-candidate:07834c521328cc1d,yamap_2022-03-05_09_44.gpx,城山・水梨山・向山,707.7550916004999,592,115.76,0.6345,2,3,0,false,true,medium,medium,low,low_priority,exact_municipality_match,砥部町,,砥部町,"砥部町, 伊予郡, 愛媛県, 日本",multiple_candidates_for_mountain|multiple_mountains_for_candidate|weak_elevation_evidence|missing_csv_coordinate,top_3_with_evidence,low_priority_alternative,mountain=城山(#41); candidate=summit-candidate:07834c521328cc1d; ref_score=0.6345; ref_rank=2; loc_level=exact_municipality_match; priority=medium; priority_reasons=top_3_with_evidence
41,城山,summit-candidate:0a765b89058b256b,yamap_2022-03-05_09_44.gpx,城山・水梨山・向山,734.4240556679409,592,142.42,0.6345,3,2,0,false,true,medium,medium,low,low_priority,exact_municipality_match,砥部町,,砥部町,"玉谷, 砥部町, 伊予郡, 愛媛県, 日本",multiple_candidates_for_mountain|multiple_mountains_for_candidate|weak_elevation_evidence|missing_csv_coordinate,top_3_with_evidence,low_priority_alternative,mountain=城山(#41); candidate=summit-candidate:0a765b89058b256b; ref_score=0.6345; ref_rank=3; loc_level=exact_municipality_match; priority=medium; priority_reasons=top_3_with_evidence
42,水梨山,summit-candidate:0a765b89058b256b,yamap_2022-03-05_09_44.gpx,城山・水梨山・向山,734.4240556679409,729,5.42,0.7875,1,1,0.051,true,true,medium,high,medium,accept_candidate_after_map_check,exact_municipality_match,砥部町,,砥部町,"玉谷, 砥部町, 伊予郡, 愛媛県, 日本",multiple_candidates_for_mountain|multiple_mountains_for_candidate|missing_csv_coordinate,top_1_but_ambiguous,clear_mutual_top1,mountain=水梨山(#42); candidate=summit-candidate:0a765b89058b256b; ref_score=0.7875; ref_rank=1; loc_level=exact_municipality_match; priority=high; priority_reasons=top_1_but_ambiguous
42,水梨山,summit-candidate:07834c521328cc1d,yamap_2022-03-05_09_44.gpx,城山・水梨山・向山,707.7550916004999,729,21.24,0.7365,2,1,0.051,false,true,medium,medium,low,low_priority,exact_municipality_match,砥部町,,砥部町,"砥部町, 伊予郡, 愛媛県, 日本",multiple_candidates_for_mountain|multiple_mountains_for_candidate|missing_csv_coordinate,top_3_with_evidence,low_priority_alternative,mountain=水梨山(#42); candidate=summit-candidate:07834c521328cc1d; ref_score=0.7365; ref_rank=2; loc_level=exact_municipality_match; priority=medium; priority_reasons=top_3_with_evidence
42,水梨山,summit-candidate:cf1e11202c4f4280,yamap_2022-03-05_09_44.gpx,城山・水梨山・向山,694.2914342760145,729,34.71,0.6855,3,2,0.051,false,true,medium,medium,low,low_priority,exact_municipality_match,砥部町,,砥部町,"砥部町, 伊予郡, 愛媛県, 日本",multiple_candidates_for_mountain|multiple_mountains_for_candidate|missing_csv_coordinate,top_3_with_evidence,low_priority_alternative,mountain=水梨山(#42); candidate=summit-candidate:cf1e11202c4f4280; ref_score=0.6855; ref_rank=3; loc_level=exact_municipality_match; priority=medium; priority_reasons=top_3_with_evidence
43,向山,summit-candidate:07834c521328cc1d,yamap_2022-03-05_09_44.gpx,城山・水梨山・向山,707.7550916004999,683,24.76,0.7365,1,2,0,false,true,medium,high,high,resolve_conflict,exact_municipality_match,砥部町,,砥部町,"砥部町, 伊予郡, 愛媛県, 日本",multiple_candidates_for_mountain|multiple_mountains_for_candidate|missing_csv_coordinate,top_1_but_ambiguous,not_mutual_top1,mountain=向山(#43); candidate=summit-candidate:07834c521328cc1d; ref_score=0.7365; ref_rank=1; loc_level=exact_municipality_match; priority=high; priority_reasons=top_1_but_ambiguous
43,向山,summit-candidate:cf1e11202c4f4280,yamap_2022-03-05_09_44.gpx,城山・水梨山・向山,694.2914342760145,683,11.29,0.7365,2,1,0.102,false,true,medium,medium,high,check_close_alternatives,exact_municipality_match,砥部町,,砥部町,"砥部町, 伊予郡, 愛媛県, 日本",multiple_candidates_for_mountain|multiple_mountains_for_candidate|missing_csv_coordinate,top_3_with_evidence,small_score_gap,mountain=向山(#43); candidate=summit-candidate:cf1e11202c4f4280; ref_score=0.7365; ref_rank=2; loc_level=exact_municipality_match; priority=medium; priority_reasons=top_3_with_evidence
43,向山,summit-candidate:0a765b89058b256b,yamap_2022-03-05_09_44.gpx,城山・水梨山・向山,734.4240556679409,683,51.42,0.6345,3,3,0,false,true,medium,medium,low,low_priority,exact_municipality_match,砥部町,,砥部町,"玉谷, 砥部町, 伊予郡, 愛媛県, 日本",multiple_candidates_for_mountain|multiple_mountains_for_candidate|weak_elevation_evidence|missing_csv_coordinate,top_3_with_evidence,low_priority_alternative,mountain=向山(#43); candidate=summit-candidate:0a765b89058b256b; ref_score=0.6345; ref_rank=3; loc_level=exact_municipality_match; priority=medium; priority_reasons=top_3_with_evidence
44,稔山,summit-candidate:622b899de76208ef,yamap_2022-03-09_10_20.gpx,稔山,911.0766666666667,917,5.92,0.7875,1,1,0.102,true,true,medium,high,medium,accept_candidate_after_map_check,exact_municipality_match,東温市,,東温市,"東温市, 愛媛県, 日本",multiple_candidates_for_mountain|multiple_mountains_for_candidate|missing_csv_coordinate,top_1_but_ambiguous,clear_mutual_top1,mountain=稔山(#44); candidate=summit-candidate:622b899de76208ef; ref_score=0.7875; ref_rank=1; loc_level=exact_municipality_match; priority=high; priority_reasons=top_1_but_ambiguous
44,稔山,summit-candidate:d1269170b687c5bc,yamap_2022-03-09_10_20.gpx,稔山,873.4633333333333,917,43.54,0.6855,2,1,0.1955,false,true,medium,medium,low,low_priority,exact_municipality_match,東温市,,東温市,"東温市, 愛媛県, 日本",multiple_candidates_for_mountain|multiple_mountains_for_candidate|missing_csv_coordinate,top_3_with_evidence,low_priority_alternative,mountain=稔山(#44); candidate=summit-candidate:d1269170b687c5bc; ref_score=0.6855; ref_rank=2; loc_level=exact_municipality_match; priority=medium; priority_reasons=top_3_with_evidence
44,稔山,summit-candidate:555fd1e3be8780dd,yamap_2022-03-25_12_12.gpx,十門山(十門城址)・ヨソ山,923.8766666666667,917,6.88,0.49,3,3,0,false,true,low,medium,low,low_priority,exact_municipality_match,東温市,,東温市,"東温市, 愛媛県, 日本",multiple_candidates_for_mountain|multiple_mountains_for_candidate|weak_name_evidence|missing_csv_coordinate,top_3_with_evidence,low_priority_alternative,mountain=稔山(#44); candidate=summit-candidate:555fd1e3be8780dd; ref_score=0.49; ref_rank=3; loc_level=exact_municipality_match; priority=medium; priority_reasons=top_3_with_evidence
45,菊ヶ森,summit-candidate:ab8cf0f07d2a219d,yamap_2022-03-12_08_31.gpx,菊ヶ森,145.66,151,5.34,0.7875,1,1,0.153,true,true,medium,high,medium,accept_candidate_after_map_check,exact_municipality_match,松山市,,松山市,"松山市道 湯山50号線, 上高野町, 松山市, 愛媛県, 791-0101, 日本",multiple_candidates_for_mountain|multiple_mountains_for_candidate|missing_csv_coordinate|activity_link_ambiguous,top_1_but_ambiguous,clear_mutual_top1,mountain=菊ヶ森(#45); candidate=summit-candidate:ab8cf0f07d2a219d; ref_score=0.7875; ref_rank=1; loc_level=exact_municipality_match; priority=high; priority_reasons=top_1_but_ambiguous
45,菊ヶ森,summit-candidate:7c680b0eed0187fa,yamap_2022-03-12_09_19.gpx,道後山,221.10333333333332,151,70.1,0.6345,2,2,0.1445,false,true,medium,medium,low,low_priority,exact_municipality_match,松山市,,松山市,"石手一丁目, 常光寺町, 松山市, 愛媛県, 790-0838, 日本",multiple_candidates_for_mountain|multiple_mountains_for_candidate|weak_elevation_evidence|missing_csv_coordinate|activity_link_ambiguous,top_3_with_evidence,low_priority_alternative,mountain=菊ヶ森(#45); candidate=summit-candidate:7c680b0eed0187fa; ref_score=0.6345; ref_rank=2; loc_level=exact_municipality_match; priority=medium; priority_reasons=top_3_with_evidence
45,菊ヶ森,summit-candidate:3259dfe3d9ce60c5,yamap_2022-03-23_07_38.gpx,明神山・潮見山,152.25333333333333,151,1.25,0.49,3,5,0,false,false,low,high,high,resolve_conflict,exact_municipality_match,松山市,,松山市,"平井町, 松山市, 愛媛県, 791-0243, 日本",multiple_candidates_for_mountain|multiple_mountains_for_candidate|weak_name_evidence|missing_csv_coordinate,top_candidate_for_multiple_mountains,shared_candidate,mountain=菊ヶ森(#45); candidate=summit-candidate:3259dfe3d9ce60c5; ref_score=0.49; ref_rank=3; loc_level=exact_municipality_match; priority=high; priority_reasons=top_candidate_for_multiple_mountains
46,道後山,summit-candidate:7c680b0eed0187fa,yamap_2022-03-12_09_19.gpx,道後山,221.10333333333332,224,2.9,0.7875,1,1,0.153,true,true,medium,high,medium,accept_candidate_after_map_check,exact_municipality_match,松山市,,松山市,"石手一丁目, 常光寺町, 松山市, 愛媛県, 790-0838, 日本",multiple_candidates_for_mountain|multiple_mountains_for_candidate|missing_csv_coordinate|activity_link_ambiguous,top_1_but_ambiguous,clear_mutual_top1,mountain=道後山(#46); candidate=summit-candidate:7c680b0eed0187fa; ref_score=0.7875; ref_rank=1; loc_level=exact_municipality_match; priority=high; priority_reasons=top_1_but_ambiguous
46,道後山,summit-candidate:ab8cf0f07d2a219d,yamap_2022-03-12_08_31.gpx,菊ヶ森,145.66,224,78.34,0.6345,2,2,0.1445,false,true,medium,medium,low,low_priority,exact_municipality_match,松山市,,松山市,"松山市道 湯山50号線, 上高野町, 松山市, 愛媛県, 791-0101, 日本",multiple_candidates_for_mountain|multiple_mountains_for_candidate|weak_elevation_evidence|missing_csv_coordinate|activity_link_ambiguous,top_3_with_evidence,low_priority_alternative,mountain=道後山(#46); candidate=summit-candidate:ab8cf0f07d2a219d; ref_score=0.6345; ref_rank=2; loc_level=exact_municipality_match; priority=medium; priority_reasons=top_3_with_evidence
46,道後山,summit-candidate:82d3009a6c1b2511,yamap_2022-10-03_14_57.gpx,雄甲山・雌甲山,218.9593458353185,224,5.04,0.49,3,4,0.051,false,false,low,high,high,resolve_conflict,exact_municipality_match,松山市,,松山市,"河野高山, 松山市, 愛媛県, 799-2436, 日本",multiple_candidates_for_mountain|multiple_mountains_for_candidate|weak_name_evidence|missing_csv_coordinate,top_candidate_for_multiple_mountains,shared_candidate,mountain=道後山(#46); candidate=summit-candidate:82d3009a6c1b2511; ref_score=0.49; ref_rank=3; loc_level=exact_municipality_match; priority=high; priority_reasons=top_candidate_for_multiple_mountains
47,倉谷山,summit-candidate:aba609f471e97e4a,yamap_2022-03-13_09_49.gpx,倉谷山・芝ヶ峠・淡路ヶ峠・宝ヶ峯,405.40333333333336,420,14.6,0.7365,1,1,0,true,true,medium,high,medium,accept_candidate_after_map_check,exact_municipality_match,松山市,,松山市,"松山市道 湯山75号線, 食場町, 松山市, 愛媛県, 791-0101, 日本",multiple_candidates_for_mountain|multiple_mountains_for_candidate|missing_csv_coordinate,top_1_but_ambiguous,clear_mutual_top1,mountain=倉谷山(#47); candidate=summit-candidate:aba609f471e97e4a; ref_score=0.7365; ref_rank=1; loc_level=exact_municipality_match; priority=high; priority_reasons=top_1_but_ambiguous
47,倉谷山,summit-candidate:feca346909b97b92,yamap_2022-01-15_08_17.gpx,関ヶ森・観音山・倉谷山・芝ヶ峠,402.01,420,17.99,0.7365,2,1,0.102,false,true,medium,medium,high,check_close_alternatives,exact_municipality_match,松山市,,松山市,"松山市道 湯山75号線, 食場町, 松山市, 愛媛県, 791-0101, 日本",multiple_candidates_for_mountain|multiple_mountains_for_candidate|missing_csv_coordinate,top_3_with_evidence,small_score_gap,mountain=倉谷山(#47); candidate=summit-candidate:feca346909b97b92; ref_score=0.7365; ref_rank=2; loc_level=exact_municipality_match; priority=medium; priority_reasons=top_3_with_evidence
47,倉谷山,summit-candidate:079ae30d76fb11c2,yamap_2022-03-13_09_49.gpx,倉谷山・芝ヶ峠・淡路ヶ峠・宝ヶ峯,280.85333333333335,420,139.15,0.6345,3,4,0,false,false,medium,high,high,resolve_conflict,exact_municipality_match,松山市,,松山市,"鷹子町, 松山市, 愛媛県, 791-0243, 日本",multiple_candidates_for_mountain|multiple_mountains_for_candidate|weak_elevation_evidence|missing_csv_coordinate,top_candidate_for_multiple_mountains,shared_candidate,mountain=倉谷山(#47); candidate=summit-candidate:079ae30d76fb11c2; ref_score=0.6345; ref_rank=3; loc_level=exact_municipality_match; priority=high; priority_reasons=top_candidate_for_multiple_mountains
48,芝ヶ峠,summit-candidate:079ae30d76fb11c2,yamap_2022-03-13_09_49.gpx,倉谷山・芝ヶ峠・淡路ヶ峠・宝ヶ峯,280.85333333333335,282,1.15,0.7875,1,1,0,true,true,medium,high,high,resolve_conflict,exact_municipality_match,松山市,,松山市,"鷹子町, 松山市, 愛媛県, 791-0243, 日本",multiple_candidates_for_mountain|multiple_mountains_for_candidate|missing_csv_coordinate,top_1_but_ambiguous|top_candidate_for_multiple_mountains,shared_candidate,"mountain=芝ヶ峠(#48); candidate=summit-candidate:079ae30d76fb11c2; ref_score=0.7875; ref_rank=1; loc_level=exact_municipality_match; priority=high; priority_reasons=top_1_but_ambiguous,top_candidate_for_multiple_mountains"
48,芝ヶ峠,summit-candidate:b9e78d4a587ceaa0,yamap_2022-03-13_09_49.gpx,倉谷山・芝ヶ峠・淡路ヶ峠・宝ヶ峯,278.7366666666667,282,3.26,0.7875,2,1,0,false,true,medium,medium,high,check_close_alternatives,exact_municipality_match,松山市,,松山市,"畑寺二丁目, 畑寺町, 松山市, 愛媛県, 790-0903, 日本",multiple_candidates_for_mountain|multiple_mountains_for_candidate|missing_csv_coordinate,top_3_with_evidence,small_score_gap,mountain=芝ヶ峠(#48); candidate=summit-candidate:b9e78d4a587ceaa0; ref_score=0.7875; ref_rank=2; loc_level=exact_municipality_match; priority=medium; priority_reasons=top_3_with_evidence
48,芝ヶ峠,summit-candidate:c284068144ec2cfd,yamap_2022-01-15_08_17.gpx,関ヶ森・観音山・倉谷山・芝ヶ峠,278.01,282,3.99,0.7875,3,1,0.153,false,true,medium,medium,high,check_close_alternatives,exact_municipality_match,松山市,,松山市,"鷹子町, 松山市, 愛媛県, 791-0243, 日本",multiple_candidates_for_mountain|multiple_mountains_for_candidate|missing_csv_coordinate,top_3_with_evidence,small_score_gap,mountain=芝ヶ峠(#48); candidate=summit-candidate:c284068144ec2cfd; ref_score=0.7875; ref_rank=3; loc_level=exact_municipality_match; priority=medium; priority_reasons=top_3_with_evidence
49,大久保山,summit-candidate:5aff666aa93b3a17,yamap_2022-03-20_07_06.gpx,大久保山・八里ヶ峠・中坂山・天神山・室岡山・潮見山,181.12,175,6.12,0.7875,1,1,0,true,true,medium,high,high,resolve_conflict,exact_municipality_match,松山市,,松山市,"平田町, 松山市, 愛媛県, 791-8004, 日本",multiple_candidates_for_mountain|multiple_mountains_for_candidate|missing_csv_coordinate,top_1_but_ambiguous|top_candidate_for_multiple_mountains,shared_candidate,"mountain=大久保山(#49); candidate=summit-candidate:5aff666aa93b3a17; ref_score=0.7875; ref_rank=1; loc_level=exact_municipality_match; priority=high; priority_reasons=top_1_but_ambiguous,top_candidate_for_multiple_mountains"
49,大久保山,summit-candidate:5e94c87cc5fcc87b,yamap_2022-03-20_07_06.gpx,大久保山・八里ヶ峠・中坂山・天神山・室岡山・潮見山,173.09,175,1.91,0.7875,2,1,0.153,false,true,medium,medium,high,check_close_alternatives,exact_municipality_match,松山市,,松山市,"吉藤五丁目, 松山市, 愛媛県, 791-8004, 日本",multiple_candidates_for_mountain|multiple_mountains_for_candidate|missing_csv_coordinate,top_3_with_evidence,small_score_gap,mountain=大久保山(#49); candidate=summit-candidate:5e94c87cc5fcc87b; ref_score=0.7875; ref_rank=2; loc_level=exact_municipality_match; priority=medium; priority_reasons=top_3_with_evidence
49,大久保山,summit-candidate:452c10a1db199870,yamap_2022-03-20_07_06.gpx,大久保山・八里ヶ峠・中坂山・天神山・室岡山・潮見山,76.83333333333333,175,98.17,0.6345,3,6,0,false,false,medium,high,high,resolve_conflict,exact_municipality_match,松山市,,松山市,"吉藤四丁目, 谷町, 松山市, 愛媛県, 791-8004, 日本",multiple_candidates_for_mountain|multiple_mountains_for_candidate|weak_elevation_evidence|missing_csv_coordinate,top_candidate_for_multiple_mountains,shared_candidate,mountain=大久保山(#49); candidate=summit-candidate:452c10a1db199870; ref_score=0.6345; ref_rank=3; loc_level=exact_municipality_match; priority=high; priority_reasons=top_candidate_for_multiple_mountains
50,八里ヶ峠,summit-candidate:5aff666aa93b3a17,yamap_2022-03-20_07_06.gpx,大久保山・八里ヶ峠・中坂山・天神山・室岡山・潮見山,181.12,182,0.88,0.7875,1,2,0,false,true,medium,high,high,resolve_conflict,exact_municipality_match,松山市,,松山市,"平田町, 松山市, 愛媛県, 791-8004, 日本",multiple_candidates_for_mountain|multiple_mountains_for_candidate|missing_csv_coordinate,top_1_but_ambiguous|top_candidate_for_multiple_mountains,shared_candidate|not_mutual_top1,"mountain=八里ヶ峠(#50); candidate=summit-candidate:5aff666aa93b3a17; ref_score=0.7875; ref_rank=1; loc_level=exact_municipality_match; priority=high; priority_reasons=top_1_but_ambiguous,top_candidate_for_multiple_mountains"
50,八里ヶ峠,summit-candidate:5e94c87cc5fcc87b,yamap_2022-03-20_07_06.gpx,大久保山・八里ヶ峠・中坂山・天神山・室岡山・潮見山,173.09,182,8.91,0.7875,2,2,0.153,false,true,medium,medium,high,check_close_alternatives,exact_municipality_match,松山市,,松山市,"吉藤五丁目, 松山市, 愛媛県, 791-8004, 日本",multiple_candidates_for_mountain|multiple_mountains_for_candidate|missing_csv_coordinate,top_3_with_evidence,small_score_gap,mountain=八里ヶ峠(#50); candidate=summit-candidate:5e94c87cc5fcc87b; ref_score=0.7875; ref_rank=2; loc_level=exact_municipality_match; priority=medium; priority_reasons=top_3_with_evidence
50,八里ヶ峠,summit-candidate:452c10a1db199870,yamap_2022-03-20_07_06.gpx,大久保山・八里ヶ峠・中坂山・天神山・室岡山・潮見山,76.83333333333333,182,105.17,0.6345,3,7,0,false,false,medium,high,high,resolve_conflict,exact_municipality_match,松山市,,松山市,"吉藤四丁目, 谷町, 松山市, 愛媛県, 791-8004, 日本",multiple_candidates_for_mountain|multiple_mountains_for_candidate|weak_elevation_evidence|missing_csv_coordinate,top_candidate_for_multiple_mountains,shared_candidate,mountain=八里ヶ峠(#50); candidate=summit-candidate:452c10a1db199870; ref_score=0.6345; ref_rank=3; loc_level=exact_municipality_match; priority=high; priority_reasons=top_candidate_for_multiple_mountains
